datadatetime,venuename,typeofspace,current,expected
2020-04-02 16:00:00,Costco Inglewood,shopping,42,46
2020-04-02 17:00:00,Costco Inglewood,shopping,37,47
2020-04-02 18:00:00,Costco Inglewood,shopping,32,42
2020-04-02 19:00:00,Costco Inglewood,shopping,20,0
2020-04-02 20:00:00,Costco Inglewood,shopping,5,0
2020-04-02 21:00:00,Costco Inglewood,shopping,0,0
2020-04-02 22:00:00,Costco Inglewood,shopping,0,0
2020-04-02 23:00:00,Costco Inglewood,shopping,0,0
2020-04-03 00:00:00,Costco Inglewood,shopping,0,0
2020-04-03 01:00:00,Costco Inglewood,shopping,0,0
2020-04-03 02:00:00,Costco Inglewood,shopping,0,0
2020-04-03 03:00:00,Costco Inglewood,shopping,0,0
2020-04-03 04:00:00,Costco Inglewood,shopping,0,0
2020-04-03 05:00:00,Costco Inglewood,shopping,0,0
2020-04-03 06:00:00,Costco Inglewood,shopping,0,0
2020-04-03 07:00:00,Costco Inglewood,shopping,0,0
2020-04-03 08:00:00,Costco Inglewood,shopping,0,0
2020-04-03 09:00:00,Costco Inglewood,shopping,0,0
2020-04-03 10:00:00,Costco Inglewood,shopping,52,30
2020-04-03 11:00:00,Costco Inglewood,shopping,52,43
2020-04-03 12:00:00,Costco Inglewood,shopping,48,52
2020-04-03 13:00:00,Costco Inglewood,shopping,45,54
2020-04-03 14:00:00,Costco Inglewood,shopping,41,50
2020-04-03 15:00:00,Costco Inglewood,shopping,44,45
2020-04-03 16:00:00,Costco Inglewood,shopping,51,46
2020-04-03 17:00:00,Costco Inglewood,shopping,56,50
2020-04-03 18:00:00,Costco Inglewood,shopping,46,49
2020-04-03 19:00:00,Costco Inglewood,shopping,20,0
2020-04-03 20:00:00,Costco Inglewood,shopping,1,0
2020-04-03 21:00:00,Costco Inglewood,shopping,0,0
2020-04-03 22:00:00,Costco Inglewood,shopping,0,0
2020-04-03 23:00:00,Costco Inglewood,shopping,0,0
2020-04-04 00:00:00,Costco Inglewood,shopping,0,0
2020-04-04 01:00:00,Costco Inglewood,shopping,0,0
2020-04-04 02:00:00,Costco Inglewood,shopping,0,0
2020-04-04 03:00:00,Costco Inglewood,shopping,0,0
2020-04-04 04:00:00,Costco Inglewood,shopping,0,0
2020-04-04 05:00:00,Costco Inglewood,shopping,0,0
2020-04-04 06:00:00,Costco Inglewood,shopping,0,0
2020-04-04 07:00:00,Costco Inglewood,shopping,0,0
2020-04-04 08:00:00,Costco Inglewood,shopping,0,0
2020-04-04 09:00:00,Costco Inglewood,shopping,43,22
2020-04-04 10:00:00,Costco Inglewood,shopping,52,39
2020-04-04 11:00:00,Costco Inglewood,shopping,56,59
2020-04-04 12:00:00,Costco Inglewood,shopping,57,73
2020-04-04 13:00:00,Costco Inglewood,shopping,49,75
2020-04-04 14:00:00,Costco Inglewood,shopping,47,72
2020-04-04 15:00:00,Costco Inglewood,shopping,55,76
2020-04-04 16:00:00,Costco Inglewood,shopping,50,79
2020-04-04 17:00:00,Costco Inglewood,shopping,39,62
2020-04-04 18:00:00,Costco Inglewood,shopping,0,0
2020-04-04 19:00:00,Costco Inglewood,shopping,0,0
2020-04-04 20:00:00,Costco Inglewood,shopping,0,0
2020-04-04 21:00:00,Costco Inglewood,shopping,0,0
2020-04-04 22:00:00,Costco Inglewood,shopping,0,0
2020-04-04 23:00:00,Costco Inglewood,shopping,0,0
2020-04-05 00:00:00,Costco Inglewood,shopping,0,0
2020-04-05 01:00:00,Costco Inglewood,shopping,0,0
2020-04-05 02:00:00,Costco Inglewood,shopping,0,0
2020-04-05 03:00:00,Costco Inglewood,shopping,0,0
2020-04-05 04:00:00,Costco Inglewood,shopping,0,0
2020-04-05 05:00:00,Costco Inglewood,shopping,0,0
2020-04-05 06:00:00,Costco Inglewood,shopping,0,0
2020-04-05 07:00:00,Costco Inglewood,shopping,0,0
2020-04-05 08:00:00,Costco Inglewood,shopping,0,0
2020-04-05 09:00:00,Costco Inglewood,shopping,0,0
2020-04-05 10:00:00,Costco Inglewood,shopping,58,46
2020-04-05 11:00:00,Costco Inglewood,shopping,61,71
2020-04-05 13:00:00,Costco Inglewood,shopping,52,90
2020-04-05 14:00:00,Costco Inglewood,shopping,51,95
2020-04-05 15:00:00,Costco Inglewood,shopping,47,100
2020-04-05 16:00:00,Costco Inglewood,shopping,36,86
2020-04-05 17:00:00,Costco Inglewood,shopping,23,53
2020-04-05 18:00:00,Costco Inglewood,shopping,0,0
2020-04-05 19:00:00,Costco Inglewood,shopping,0,0
2020-04-05 20:00:00,Costco Inglewood,shopping,0,0
2020-04-05 21:00:00,Costco Inglewood,shopping,0,0
2020-04-05 22:00:00,Costco Inglewood,shopping,0,0
2020-04-05 23:00:00,Costco Inglewood,shopping,0,0
2020-04-06 00:00:00,Costco Inglewood,shopping,0,0
2020-04-06 01:00:00,Costco Inglewood,shopping,0,0
